#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号
Tzitzi Headgear,0,3,0,0,0,6,18,46,0,0,-3,-2,0,Blindsider,1,,,,,,,,,Tzitzi-Ya-Ku Scale,2,Tzitzi-Ya-Ku Hide,1,Tzitzi-Ya-Ku Photophore,1,Coral Crystal,1,70,Streamstone Shard,1,Fucium Ore,3,0,200
Lumu Hat,0,3,0,0,0,6,20,48,-3,2,0,1,0,Stamina Surge,1,,,,,,,,,Paolumu Scale,2,Paolumu Webbing,2,Paolumu Shell,2,Lightcrystal,1,72,Streamstone Shard,1,Fucium Ore,3,0,210
Girros Mask,0,3,0,0,0,8,20,48,0,-3,2,0,1,Horn Maestro,1,,,,,,,,,Great Girros Scale,2,Great Girros Hide,1,Great Girros Hood,1,Girros Scale,3,72,Streamstone Shard,1,Fucium Ore,3,0,220
Baan Helm,0,3,0,0,0,8,24,52,0,2,0,-1,-2,Slugger,1,,,,,,,,,Radobaan Shell,3,Radobaan Oilshell,2,Wyvern Bonemass,2,Radobaan Marrow,1,76,Streamstone Shard,1,Fucium Ore,3,0,230
Ingot Helm,0,4,0,0,0,8,28,52,-2,0,3,-1,0,Thunder Attack,1,,,,,,,,,Dragonite Ore,2,Monster Bone+,1,Iron Ore,8,Machalite Ore,3,72,Streamstone Shard,1,Fucium Ore,3,0,240
Death Stench Brain,0,4,0,0,0,8,32,56,3,2,-2,3,-4,Resuscitate,1,,,,,,,,,Sinister Cloth,1,Warped Bone,1,Monster Bone+,2,Sharp Claw,3,76,Streamstone Shard,1,Fucium Ore,3,0,250
Brigade Lobos,0,4,0,0,0,8,28,52,1,0,2,0,2,Recovery Speed,1,,,,,,,,,Pinnacle Coin,2,Pukei Coin,2,Kulu Coin,2,Commendation,1,72,Streamstone Shard,1,Fucium Ore,3,0,260
Legiana Helm,0,4,0,0,0,8,30,54,-1,2,-3,3,0,Divine Blessing,1,Legiana Blessing,1,,,,,,,Legiana Scale,2,Legiana Hide,1,Legiana Claw,1,Shamos Scale,2,74,Streamstone Shard,1,Fucium Ore,3,0,270
Odogaron Helm,0,4,0,0,0,8,30,54,2,2,-2,-3,0,Bleeding Resistance,1,Odogaron Power,1,,,,,,,Odogaron Scale,2,Odogaron Sinew,1,Odogaron Claw,1,Warped Bone,1,74,Streamstone Shard,1,Fucium Ore,3,0,280
Rathalos Helm,0,4,0,0,0,8,30,54,3,1,-2,1,-3,Attack Boost,1,Rathalos Power,1,,,,,,,Rathalos Scale,2,Rathalos Shell,2,Rath Wingtalon,2,Rathalos Marrow,1,74,Streamstone Shard,1,Fucium Ore,3,0,290
Diablos Helm,0,4,0,0,0,8,32,56,3,-2,0,-3,2,Critical Draw,1,Diablos Power,1,,,,,,,Diablos Ridge,3,Diablos Fang,2,Twisted Horn,1,Diablos Marrow,1,76,Streamstone Shard,1,Fucium Ore,3,0,300
Kirin Horn,0,4,0,0,0,8,34,58,-3,-2,4,-2,2,Marathon Runner,1,Kirin Blessing,1,,,,,,,Kirin Hide,2,Kirin Tail,2,Kirin Thunderhorn,3,Lightcrystal,1,78,Streamstone Shard,1,Fucium Ore,3,0,310
Blossom Headgear,0,3,0,0,0,3,18,46,1,1,4,1,1,Honey Hunter,1,,,,,,,,,Spring Blossom Ticket,1,Earth Crystal,1,,,,,70,Streamstone Shard,1,Fucium Ore,3,0,320
Diver's Mask,0,3,0,0,0,6,22,50,1,4,1,1,1,Marathon Runner,1,,,,,,,,,Summer Twilight Ticket,1,Coral Crystal,1,,,,,74,Streamstone Shard,1,Fucium Ore,3,0,330
Harvest Flor,0,3,0,0,0,6,26,54,4,1,1,1,1,Focus,1,,,,,,,,,Autumn Harvest Ticket,1,Sturdy Bone,1,,,,,78,Streamstone Shard,1,Fucium Ore,3,0,340
Orion Cap,0,4,0,0,0,8,30,54,1,1,1,4,1,Recovery Up,1,,,,,,,,,Winter Star Ticket,1,Monster Bone+,1,,,,,74,Streamstone Shard,1,Fucium Ore,3,0,350
Gala Suit Top Hat,0,4,0,0,0,8,34,58,1,1,1,1,4,Critical Boost,1,Astera Blessing,1,,,,,,,Appreciation Ticket,1,Monster Bone+,3,,,,,78,Streamstone Shard,1,Fucium Ore,3,0,360
Butterfly Vertex,1,3,0,0,0,4,22,50,-1,-1,2,0,2,Stun Resistance,1,,,,,,,,,Spring Insect Field Guide,1,Great Hornfly,1,Vespoid Shell,1,Monster Fluid,1,74,Streamstone Shard,1,Fucium Ore,3,0,370
Queen Beetle Vertex,2,3,0,0,0,4,22,50,-1,-1,2,0,2,Stun Resistance,1,,,,,,,,,Spring Insect Field Guide,1,Great Hornfly,1,Vespoid Shell,1,Monster Fluid,1,74,Streamstone Shard,1,Fucium Ore,3,0,380
Leather Headgear α,0,5,0,0,0,11,32,54,2,0,0,0,0,Hunger Resistance,2,,,,,,,,,Carbalite Ore,3,High-quality Pelt,1,,,,,70,Streamstone Shard,1,Dragonbone Relic,1,0,390
Leather Headgear β,0,5,1,0,0,11,32,54,2,0,0,0,0,Hunger Resistance,1,,,,,,,,,Carbalite Ore,3,High-quality Pelt,1,,,,,70,Streamstone Shard,1,Dragonbone Relic,1,0,400
Chainmail Headgear α,0,5,0,0,0,11,32,54,0,2,0,0,0,Master Gatherer,1,Guard,1,,,,,,,Carbalite Ore,3,Dragonite Ore,2,,,,,70,Streamstone Shard,1,Dragonbone Relic,1,0,410
Chainmail Headgear β,0,5,1,0,0,11,32,54,0,2,0,0,0,Master Gatherer,1,,,,,,,,,Carbalite Ore,3,Dragonite Ore,2,,,,,70,Streamstone Shard,1,Dragonbone Relic,1,0,420
Hunter's Headgear α,0,5,0,0,0,11,36,58,2,2,0,0,0,Scoutfly Range Up,1,Scholar,1,,,,,,,Jagras Hide+,3,Jagras Scale+,4,,,,,74,Streamstone Shard,1,Dragonbone Relic,1,0,430
Hunter's Headgear β,0,5,1,0,0,11,36,58,2,2,0,0,0,Scoutfly Range Up,1,,,,,,,,,Jagras Hide+,3,Jagras Scale+,4,,,,,74,Streamstone Shard,1,Dragonbone Relic,1,0,440
Bone Helm α,0,5,0,0,0,11,36,58,2,0,2,0,2,Health Boost,1,Entomologist,1,,,,,,,Quality Bone,3,Monster Bone+,2,Warped Bone,2,,,74,Streamstone Shard,1,Dragonbone Relic,1,0,450
Bone Helm β,0,5,1,0,0,11,36,58,2,0,2,0,2,Health Boost,1,,,,,,,,,Quality Bone,3,Monster Bone+,2,Warped Bone,2,,,74,Streamstone Shard,1,Dragonbone Relic,1,0,460
Alloy Helm α,0,5,0,0,0,11,36,58,-2,0,-2,-2,0,Windproof,1,Defense Boost,1,,,,,,,Carbalite Ore,3,Dragonite Ore,6,Dragonvein Crystal,3,Machalite Ore,5,74,Streamstone Shard,1,Dragonbone Relic,1,0,470
Alloy Helm β,0,5,1,0,0,11,36,58,-2,0,-2,-2,0,Windproof,1,,,,,,,,,Carbalite Ore,3,Dragonite Ore,6,Dragonvein Crystal,3,Machalite Ore,5,74,Streamstone Shard,1,Dragonbone Relic,1,0,480
King Beetle Vertex α,1,5,0,0,0,11,42,64,-1,-1,2,0,2,Evade Window,2,Botanist,1,,,,,,,Great Hornfly,1,Carbalite Ore,2,Monster Broth,2,Inferno Sac,3,80,Streamstone Shard,1,Dragonbone Relic,1,0,490
King Beetle Vertex β,1,5,1,0,0,11,42,64,-1,-1,2,0,2,Evade Window,2,,,,,,,,,Great Hornfly,1,Carbalite Ore,2,Monster Broth,2,Inferno Sac,3,80,Streamstone Shard,1,Dragonbone Relic,1,0,500
Butterfly Vertex α,2,5,0,0,0,11,42,64,-1,-1,2,0,2,Evade Window,2,Botanist,1,,,,,,,Great Hornfly,1,Carbalite Ore,2,Monster Broth,2,Inferno Sac,3,80,Streamstone Shard,1,Dragonbone Relic,1,0,510
Butterfly Vertex β,2,5,1,0,0,11,42,64,-1,-1,2,0,2,Evade Window,2,,,,,,,,,Great Hornfly,1,Carbalite Ore,2,Monster Broth,2,Inferno Sac,3,80,Streamstone Shard,1,Dragonbone Relic,1,0,520
Vespoid Helm α,0,5,0,0,0,11,38,60,-2,1,1,1,2,Quick Sheath,1,Paralysis Attack,1,,,,,,,Vespoid Carapace,3,Vespoid Innerwing,2,Monster Keenbone,2,,,76,Streamstone Shard,1,Dragonbone Relic,1,0,530
Vespoid Helm β,0,5,1,0,0,11,38,60,-2,1,1,1,2,Quick Sheath,1,,,,,,,,,Vespoid Carapace,3,Vespoid Innerwing,2,Monster Keenbone,2,,,76,Streamstone Shard,1,Dragonbone Relic,1,0,540
Hornetaur Helm α,0,5,0,0,0,11,38,60,-1,-1,0,0,2,Dungmaster,1,Dragon Attack,1,,,,,,,Hornetaur Carapace,3,Hornetaur Innerwing,2,Monster Broth,2,,,76,Streamstone Shard,1,Dragonbone Relic,1,0,550
Hornetaur Helm β,0,5,1,0,0,11,38,60,-1,-1,0,0,2,Dungmaster,1,,,,,,,,,Hornetaur Carapace,3,Hornetaur Innerwing,2,Monster Broth,2,,,76,Streamstone Shard,1,Dragonbone Relic,1,0,560
Mosswine Mask α,0,5,0,0,0,11,40,62,2,2,2,2,2,Mushroomancer,2,,,,,,,,,Mosswine Hide,3,Anjanath Nosebone+,1,Great Girros Hide+,3,Novacrystal,1,78,Streamstone Shard,1,Dragonbone Relic,1,0,570
Shamos Goggles α,0,5,0,0,0,11,40,62,2,2,0,-3,0,Detector,1,Geologist,1,,,,,,,Shamos Hide+,3,Shamos Scale+,4,Dragonvein Crystal,3,,,78,Streamstone Shard,1,Dragonbone Relic,1,0,580
Shamos Goggles β,0,5,1,0,0,11,40,62,2,2,0,-3,0,Detector,1,,,,,,,,,Shamos Hide+,3,Shamos Scale+,4,Dragonvein Crystal,3,,,78,Streamstone Shard,1,Dragonbone Relic,1,0,590
Jagras Helm α,0,5,0,0,0,11,40,62,-2,2,-1,-1,1,Speed Eating,2,,,,,,,,,Great Jagras Hide+,4,Great Jagras Mane,2,Great Jagras Claw+,4,Piercing Claw,2,78,Streamstone Shard,1,Dragonbone Relic,1,0,600
Jagras Helm β,0,5,1,0,0,11,40,62,-2,2,-1,-1,1,Speed Eating,1,,,,,,,,,Great Jagras Hide+,4,Great Jagras Mane,2,Great Jagras Claw+,4,Piercing Claw,2,78,Streamstone Shard,1,Dragonbone Relic,1,0,610
Kulu Headpiece α,0,5,0,0,0,11,40,62,0,-3,0,1,0,Fire Resistance,1,Weakness Exploit,1,,,,,,,Kulu-Ya-Ku Scale+,4,Kulu-Ya-Ku Hide+,2,Kulu-Ya-Ku Plume+,2,,,78,Streamstone Shard,1,Dragonbone Relic,1,0,620
Kulu Headpiece β,0,5,1,1,0,11,40,62,0,-3,0,1,0,Fire Resistance,1,,,,,,,,,Kulu-Ya-Ku Scale+,4,Kulu-Ya-Ku Hide+,2,Kulu-Ya-Ku Plume+,2,,,78,Streamstone Shard,1,Dragonbone Relic,1,0,630
Tzitzi Headgear α,0,5,0,0,0,11,40,62,0,0,-3,-2,0,Blindsider,1,Stun Resistance,1,,,,,,,Tzitzi-Ya-Ku Scale+,4,Tzitzi-Ya-Ku Hide+,2,Tzitzi-Ya-Ku Photophore+,2,Coral Crystal,5,78,Streamstone Shard,1,Dragonbone Relic,1,0,640
Tzitzi Headgear β,0,5,1,0,0,11,40,62,0,0,-3,-2,0,Blindsider,1,,,,,,,,,Tzitzi-Ya-Ku Scale+,4,Tzitzi-Ya-Ku Hide+,2,Tzitzi-Ya-Ku Photophore+,2,Coral Crystal,5,78,Streamstone Shard,1,Dragonbone Relic,1,0,650
Girros Mask α,0,5,0,0,0,11,40,62,0,-3,2,0,1,Horn Maestro,1,Paralysis Resistance,1,,,,,,,Great Girros Scale+,4,Great Girros Hide+,2,Great Girros Hood+,1,Girros Scale+,4,78,Streamstone Shard,1,Dragonbone Relic,1,0,660
Girros Mask β,0,5,1,0,0,11,40,62,0,-3,2,0,1,Horn Maestro,1,,,,,,,,,Great Girros Scale+,4,Great Girros Hide+,2,Great Girros Hood+,1,Girros Scale+,4,78,Streamstone Shard,1,Dragonbone Relic,1,0,670
Pukei Hood α,0,5,0,0,0,11,42,64,0,3,-3,0,1,Survival Expert,2,,,,,,,,,Pukei-Pukei Carapace,2,Pukei-Pukei Tail,2,Pukei-Pukei Wing,3,Toxin Sac,2,80,Streamstone Shard,1,Dragonbone Relic,1,0,680
Pukei Hood β,0,5,1,1,0,11,42,64,0,3,-3,0,1,Survival Expert,1,,,,,,,,,Pukei-Pukei Carapace,2,Pukei-Pukei Tail,2,Pukei-Pukei Wing,3,Toxin Sac,2,80,Streamstone Shard,1,Dragonbone Relic,1,0,690
Barroth Helm α,0,5,0,0,0,11,42,64,-3,-1,3,-1,0,Guard,2,,,,,,,,,Barroth Ridge+,3,Barroth Tail,2,Barroth Claw+,3,Kestodon Carapace,4,80,Streamstone Shard,1,Dragonbone Relic,1,0,700
Barroth Helm β,0,5,1,0,0,11,42,64,-3,-1,3,-1,0,Guard,1,,,,,,,,,Barroth Ridge+,3,Barroth Tail,2,Barroth Claw+,3,Kestodon Carapace,4,80,Streamstone Shard,1,Dragonbone Relic,1,0,710
Anja Helm α,0,5,0,0,0,11,44,66,3,-3,-1,-1,0,Fire Attack,2,Fire Resistance,1,Anjanath Will,1,,,,,Anjanath Pelt+,4,Anjanath Scale+,4,Anjanath Tail,2,Inferno Sac,3,82,Streamstone Shard,1,Dragonbone Relic,1,0,720
Anja Helm β,0,5,2,0,0,11,44,66,3,-3,-1,-1,0,Fire Attack,2,Anjanath Will,1,,,,,,,Anjanath Pelt+,4,Anjanath Scale+,4,Anjanath Tail,2,Inferno Sac,3,82,Streamstone Shard,1,Dragonbone Relic,1,0,730
Jyura Helm α,0,5,0,0,0,11,44,66,-1,2,-3,0,0,Aquatic/Polar Mobility,2,,,,,,,,,Jyuratodus Scale+,4,Jyuratodus Carapace,2,Jyuratodus Fin+,2,Gajau Scale,6,82,Streamstone Shard,1,Dragonbone Relic,1,0,740
Jyura Helm β,0,5,1,0,0,11,44,66,-1,2,-3,0,0,Aquatic/Polar Mobility,1,,,,,,,,,Jyuratodus Scale+,4,Jyuratodus Carapace,2,Jyuratodus Fin+,2,Gajau Scale,6,82,Streamstone Shard,1,Dragonbone Relic,1,0,750
Kadachi Helm α,0,5,0,0,0,11,44,66,0,-3,3,0,0,Constitution,2,,,,,,,,,Tobi-Kadachi Pelt+,4,Tobi-Kadachi Electrode,4,Tobi-Kadachi Claw+,4,Wyvern Gem,1,82,Streamstone Shard,1,Dragonbone Relic,1,0,760
Kadachi Helm β,0,5,2,0,0,11,44,66,0,-3,3,0,0,Constitution,1,,,,,,,,,Tobi-Kadachi Pelt+,4,Tobi-Kadachi Electrode,4,Tobi-Kadachi Claw+,4,Wyvern Gem,1,82,Streamstone Shard,1,Dragonbone Relic,1,0,770
Lumu Hat α,0,5,0,0,0,11,44,66,-3,2,0,1,0,Stamina Surge,2,,,,,,,,,Paolumu Scale+,4,Paolumu Wing,2,Paolumu Pelt+,2,Lightcrystal,2,82,Streamstone Shard,1,Dragonbone Relic,1,0,780
Lumu Hat β,0,5,2,0,0,11,44,66,-3,2,0,1,0,Stamina Surge,1,,,,,,,,,Paolumu Scale+,4,Paolumu Wing,2,Paolumu Pelt+,2,Lightcrystal,2,82,Streamstone Shard,1,Dragonbone Relic,1,0,790
Rathian Helm α,0,5,0,0,0,11,46,68,2,0,-2,0,-3,Health Boost,2,Poison Attack,1,,,,,,,Rathian Carapace,4,Rathian Scale+,4,Rathian Webbing,2,Inferno Sac,3,84,Streamstone Shard,1,Dragonbone Relic,1,0,800
Rathian Helm β,0,5,1,0,0,11,46,68,2,0,-2,0,-3,Health Boost,1,Poison Attack,1,,,,,,,Rathian Carapace,4,Rathian Scale+,4,Rathian Webbing,2,Inferno Sac,3,84,Streamstone Shard,1,Dragonbone Relic,1,0,810
Rath Heart Helm α,0,6,0,0,0,13,52,72,3,0,-3,0,-4,Evade Extender,1,Poison Attack,1,Pink Rathian Mastery,1,,,,,Pink Rathian Scale+,4,Pink Rathian Carapace,2,Monster Hardbone,3,Shamos Scale+,4,84,Streamstone Shard,1,Bird Wyvern Gem,1,0,820
Rath Heart Helm β,0,6,2,0,0,13,52,72,3,0,-3,0,-4,Evade Extender,1,Pink Rathian Mastery,1,,,,,,,Pink Rathian Scale+,4,Pink Rathian Carapace,2,Monster Hardbone,3,Shamos Scale+,4,84,Streamstone Shard,1,Bird Wyvern Gem,1,0,830
Baan Helm α,0,6,0,0,0,11,46,66,0,2,0,-1,-2,Tremor Resistance,2,,,,,,,,,Radobaan Carapace,6,Radobaan Scale+,4,Radobaan Medulla,1,Wyvern Gem,1,78,Streamstone Shard,1,Bird Wyvern Gem,1,0,840
Baan Helm β,0,6,2,0,0,11,46,66,0,2,0,-1,-2,Tremor Resistance,1,,,,,,,,,Radobaan Carapace,6,Radobaan Scale+,4,Radobaan Medulla,1,Wyvern Gem,1,78,Streamstone Shard,1,Bird Wyvern Gem,1,0,850
Gastodon Horn α,0,5,0,0,0,13,48,70,3,0,0,0,0,Flinch Free,1,Blast Resistance,1,,,,,,,Gastodon Horn,3,Gastodon Carapace,4,Kestodon Carapace,3,Dragonite Ore,5,86,Streamstone Shard,1,Dragonbone Relic,1,0,860
Gastodon Horn β,0,5,1,0,0,13,48,70,3,0,0,0,0,Flinch Free,1,,,,,,,,,Gastodon Horn,3,Gastodon Carapace,4,Kestodon Carapace,3,Dragonite Ore,5,86,Streamstone Shard,1,Dragonbone Relic,1,0,870
Dodogama Helm α,0,5,0,0,0,13,48,70,2,0,-3,0,2,Blast Resistance,2,,,,,,,,,Dodogama Scale+,4,Dodogama Hide+,2,Dodogama Jaw,1,Gastodon Horn,3,86,Streamstone Shard,1,Dragonbone Relic,1,0,880
Dodogama Helm β,0,5,1,0,0,13,48,70,2,0,-3,0,2,Blast Resistance,1,,,,,,,,,Dodogama Scale+,4,Dodogama Hide+,2,Dodogama Jaw,1,Gastodon Horn,3,86,Streamstone Shard,1,Dragonbone Relic,1,0,890
Zorah Headgear α,0,6,0,0,0,11,44,64,4,-3,-1,-2,-3,Handicraft,1,Blast Attack,1,Zorah Magdaros Mastery,1,,,,,Zorah Magdaros Heat Scale,3,Zorah Magdaros Ridge,2,Zorah Magdaros Carapace,6,Dragonite Ore,8,76,Streamstone Shard,1,Bird Wyvern Gem,1,0,900
Zorah Headgear β,0,6,1,0,0,11,44,64,4,-3,-1,-2,-3,Handicraft,1,Zorah Magdaros Mastery,1,,,,,,,Zorah Magdaros Heat Scale,3,Zorah Magdaros Ridge,2,Zorah Magdaros Carapace,6,Dragonite Ore,8,76,Streamstone Shard,1,Bird Wyvern Gem,1,0,910
High Metal Helm α,0,6,0,0,0,13,50,70,0,-1,-2,3,0,Ice Resistance,2,Earplugs,1,,,,,,,Fucium Ore,3,Carbalite Ore,4,Dragonvein Crystal,2,Barnos Hide+,3,82,Streamstone Shard,1,Bird Wyvern Gem,1,0,920
High Metal Helm β,0,6,2,0,0,13,50,70,0,-1,-2,3,0,Ice Resistance,2,,,,,,,,,Fucium Ore,3,Carbalite Ore,4,Dragonvein Crystal,2,Barnos Hide+,3,82,Streamstone Shard,1,Bird Wyvern Gem,1,0,930
Ingot Helm α,0,6,0,0,0,13,50,70,-2,0,3,-1,0,Thunder Attack,2,,,,,,,,,Fucium Ore,1,Monster Hardbone,2,Dragonite Ore,4,Gastodon Horn,2,82,Streamstone Shard,1,Bird Wyvern Gem,1,0,940
Ingot Helm β,0,6,1,0,0,13,50,70,-2,0,3,-1,0,Thunder Attack,1,,,,,,,,,Fucium Ore,1,Monster Hardbone,2,Dragonite Ore,4,Gastodon Horn,2,82,Streamstone Shard,1,Bird Wyvern Gem,1,0,950
Brigade Lobos α,0,6,0,0,0,13,52,72,1,0,2,0,2,Recovery Speed,2,Horn Maestro,1,,,,,,,Hunter King Coin,2,Tzitzi Coin,4,Gama Coin,3,Monster Hardbone,2,84,Streamstone Shard,1,Bird Wyvern Gem,1,0,960
Brigade Lobos β,0,6,1,0,0,13,52,72,1,0,2,0,2,Recovery Speed,2,,,,,,,,,Hunter King Coin,2,Tzitzi Coin,4,Gama Coin,3,Monster Hardbone,2,84,Streamstone Shard,1,Bird Wyvern Gem,1,0,970
Faux Felyne α,0,6,0,0,0,13,56,76,2,2,2,2,2,Palico Rally,3,,,,,,,,,Tailraider Voucher,3,Paolumu Pelt+,3,High-quality Pelt,3,Firecell Stone,1,88,Streamstone Shard,1,Bird Wyvern Gem,1,0,980
Strategist α,0,6,1,0,0,13,56,76,2,2,2,2,2,Critical Eye,2,,,,,,,,,Firecell Stone,2,Novacrystal,2,Fucium Ore,6,,,88,Streamstone Shard,1,Bird Wyvern Gem,1,0,990
Lavasioth Helm α,0,6,0,0,0,13,56,76,3,-3,1,-2,2,Fire Attack,2,Quick Sheath,1,,,,,,,Lavasioth Scale+,4,Lavasioth Carapace,2,Lavasioth Fin+,2,Monster Hardbone,6,88,Streamstone Shard,1,Bird Wyvern Gem,1,0,1000
Lavasioth Helm β,0,6,1,1,0,13,56,76,3,-3,1,-2,2,Fire Attack,1,Quick Sheath,1,,,,,,,Lavasioth Scale+,4,Lavasioth Carapace,2,Lavasioth Fin+,2,Monster Hardbone,6,88,Streamstone Shard,1,Bird Wyvern Gem,1,0,1010
Legiana Helm α,0,6,0,0,0,13,54,74,-1,2,-3,3,0,Divine Blessing,2,Ice Attack,1,Legiana Favor,1,,,,,Legiana Scale+,4,Legiana Hide+,2,Freezer Sac,2,Tzitzi-Ya-Ku Scale+,2,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,1020
Legiana Helm β,0,6,1,0,0,13,54,74,-1,2,-3,3,0,Divine Blessing,2,Legiana Favor,1,,,,,,,Legiana Scale+,4,Legiana Hide+,2,Freezer Sac,2,Tzitzi-Ya-Ku Scale+,2,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,1030
Odogaron Helm α,0,6,0,0,0,13,54,74,2,2,-2,-3,0,Bleeding Resistance,2,Critical Eye,1,Odogaron Mastery,1,,,,,Odogaron Scale+,4,Odogaron Sinew+,2,Odogaron Claw+,2,Warped Bone,3,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,1040
