#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号
Barroth Vambraces α,0,5,0,0,0,11,42,64,-3,-1,3,-1,0,Marathon Runner,1,Stamina Thief,1,,,,,,,Barroth Ridge+,4,Barroth Scalp,2,Kestodon Carapace,3,Wyvern Gem,1,80,Streamstone Shard,1,Dragonbone Relic,1,0,690
Barroth Vambraces β,0,5,1,0,0,11,42,64,-3,-1,3,-1,0,Marathon Runner,1,,,,,,,,,Barroth Ridge+,4,Barroth Scalp,2,Kestodon Carapace,3,Wyvern Gem,1,80,Streamstone Shard,1,Dragonbone Relic,1,0,700
Anja Vambraces α,0,5,0,0,0,11,44,66,3,-3,-1,-1,0,Special Ammo Boost,1,Fire Attack,1,Anjanath Will,1,,,,,Anjanath Pelt+,4,Anjanath Scale+,4,Anjanath Nosebone+,1,Monster Keenbone,4,82,Streamstone Shard,1,Dragonbone Relic,1,0,710
Anja Vambraces β,0,5,1,0,0,11,44,66,3,-3,-1,-1,0,Special Ammo Boost,1,Anjanath Will,1,,,,,,,Anjanath Pelt+,4,Anjanath Scale+,4,Anjanath Nosebone+,1,Monster Keenbone,4,82,Streamstone Shard,1,Dragonbone Relic,1,0,720
Jyura Vambraces α,0,5,0,0,0,11,44,66,-1,2,-3,0,0,Water Attack,2,Aquatic/Polar Mobility,1,,,,,,,Jyuratodus Carapace,4,Jyuratodus Fang+,3,Grand Gajau Whisker,2,Monster Keenbone,3,82,Streamstone Shard,1,Dragonbone Relic,1,0,730
Jyura Vambraces β,0,5,1,0,0,11,44,66,-1,2,-3,0,0,Water Attack,2,,,,,,,,,Jyuratodus Carapace,4,Jyuratodus Fang+,3,Grand Gajau Whisker,2,Monster Keenbone,3,82,Streamstone Shard,1,Dragonbone Relic,1,0,740
Kadachi Vambraces α,0,5,0,0,0,11,44,66,0,-3,3,0,0,Evade Extender,2,,,,,,,,,Tobi-Kadachi Pelt+,4,Tobi-Kadachi Claw+,4,Tobi-Kadachi Scale+,2,Monster Keenbone,4,82,Streamstone Shard,1,Dragonbone Relic,1,0,750
Kadachi Vambraces β,0,5,2,0,0,11,44,66,0,-3,3,0,0,Evade Extender,1,,,,,,,,,Tobi-Kadachi Pelt+,4,Tobi-Kadachi Claw+,4,Tobi-Kadachi Scale+,2,Monster Keenbone,4,82,Streamstone Shard,1,Dragonbone Relic,1,0,760
Lumu Vambraces α,0,5,0,0,0,11,44,66,-3,2,0,1,0,Artillery,2,,,,,,,,,Paolumu Pelt+,4,Paolumu Scale+,2,Paolumu Wing,2,Quality Bone,5,82,Streamstone Shard,1,Dragonbone Relic,1,0,770
Lumu Vambraces β,0,5,1,0,0,11,44,66,-3,2,0,1,0,Artillery,1,,,,,,,,,Paolumu Pelt+,4,Paolumu Scale+,2,Paolumu Wing,2,Quality Bone,5,82,Streamstone Shard,1,Dragonbone Relic,1,0,780
Rathian Vambraces α,0,5,0,0,0,11,46,68,2,0,-2,0,-3,Poison Attack,2,,,,,,,,,Rathian Carapace,4,Rathian Scale+,4,Rathian Spike+,2,Monster Keenbone,4,84,Streamstone Shard,1,Dragonbone Relic,1,0,790
Rathian Vambraces β,0,5,1,0,0,11,46,68,2,0,-2,0,-3,Poison Attack,1,,,,,,,,,Rathian Carapace,4,Rathian Scale+,4,Rathian Spike+,2,Monster Keenbone,4,84,Streamstone Shard,1,Dragonbone Relic,1,0,800
Rath Heart Braces α,0,6,0,0,0,13,52,72,3,0,-3,0,-4,Windproof,2,Pink Rathian Mastery,1,,,,,,,Pink Rathian Carapace,6,Pink Rathian Scale+,2,Rathian Spike+,3,Rathian Ruby,1,84,Streamstone Shard,1,Bird Wyvern Gem,1,0,810
Rath Heart Braces β,0,6,2,0,0,13,52,72,3,0,-3,0,-4,Windproof,1,Pink Rathian Mastery,1,,,,,,,Pink Rathian Carapace,6,Pink Rathian Scale+,2,Rathian Spike+,3,Rathian Ruby,1,84,Streamstone Shard,1,Bird Wyvern Gem,1,0,820
Baan Vambraces α,0,6,0,0,0,11,46,66,0,2,0,-1,-2,Sleep Attack,2,Guard,1,,,,,,,Radobaan Scale+,4,Radobaan Carapace,3,Radobaan Oilshell,2,Sturdy Bone,8,78,Streamstone Shard,1,Bird Wyvern Gem,1,0,830
Baan Vambraces β,0,6,1,0,0,11,46,66,0,2,0,-1,-2,Sleep Attack,1,Guard,1,,,,,,,Radobaan Scale+,4,Radobaan Carapace,3,Radobaan Oilshell,2,Sturdy Bone,8,78,Streamstone Shard,1,Bird Wyvern Gem,1,0,840
Dodogama Vambraces α,0,5,0,0,0,13,48,70,2,0,-3,0,2,Bombardier,2,,,,,,,,,Dodogama Hide+,4,Dodogama Talon,4,Dodogama Scale+,4,Fucium Ore,6,86,Streamstone Shard,1,Dragonbone Relic,1,0,850
Dodogama Vambraces β,0,5,1,0,0,13,48,70,2,0,-3,0,2,Bombardier,1,,,,,,,,,Dodogama Hide+,4,Dodogama Talon,4,Dodogama Scale+,4,Fucium Ore,6,86,Streamstone Shard,1,Dragonbone Relic,1,0,860
Zorah Claws α,0,6,0,0,0,11,44,64,4,-3,-1,-2,-3,Free Elem/Ammo Up,1,Bombardier,1,Zorah Magdaros Mastery,1,,,,,Zorah Magdaros Heat Scale,3,Zorah Magdaros Pleura,3,Zorah Magdaros Magma,2,Dragonite Ore,8,76,Streamstone Shard,1,Bird Wyvern Gem,1,0,870
Zorah Claws β,0,6,1,0,0,11,44,64,4,-3,-1,-2,-3,Free Elem/Ammo Up,1,Zorah Magdaros Mastery,1,,,,,,,Zorah Magdaros Heat Scale,3,Zorah Magdaros Pleura,3,Zorah Magdaros Magma,2,Dragonite Ore,8,76,Streamstone Shard,1,Bird Wyvern Gem,1,0,880
High Metal Braces α,0,6,0,0,0,13,50,70,0,-1,-2,3,0,Defense Boost,2,Ice Attack,1,,,,,,,Fucium Ore,4,Carbalite Ore,3,Dragonvein Crystal,4,Barnos Hide+,4,82,Streamstone Shard,1,Bird Wyvern Gem,1,0,890
High Metal Braces β,0,6,1,0,0,13,50,70,0,-1,-2,3,0,Defense Boost,2,,,,,,,,,Fucium Ore,4,Carbalite Ore,3,Dragonvein Crystal,4,Barnos Hide+,4,82,Streamstone Shard,1,Bird Wyvern Gem,1,0,900
Ingot Vambraces α,0,6,0,0,0,13,50,70,-2,0,3,-1,0,Health Boost,2,Thunder Attack,1,,,,,,,Fucium Ore,1,Monster Hardbone,3,Dragonite Ore,4,Gastodon Horn,2,82,Streamstone Shard,1,Bird Wyvern Gem,1,0,910
Ingot Vambraces β,0,6,1,0,0,13,50,70,-2,0,3,-1,0,Health Boost,2,,,,,,,,,Fucium Ore,1,Monster Hardbone,3,Dragonite Ore,4,Gastodon Horn,2,82,Streamstone Shard,1,Bird Wyvern Gem,1,0,920
Brigade Vambraces α,0,6,0,0,0,13,52,72,1,0,2,0,2,Heavy Artillery,2,Divine Blessing,1,,,,,,,Hunter King Coin,2,Barroth Coin,4,Rathalos Coin,3,Monster Hardbone,2,84,Streamstone Shard,1,Bird Wyvern Gem,1,0,930
Brigade Vambraces β,0,6,1,0,0,13,52,72,1,0,2,0,2,Heavy Artillery,2,,,,,,,,,Hunter King Coin,2,Barroth Coin,4,Rathalos Coin,3,Monster Hardbone,2,84,Streamstone Shard,1,Bird Wyvern Gem,1,0,940
Lavasioth Vambraces α,0,6,2,0,0,13,56,76,3,-3,1,-2,2,Affinity Sliding,1,Wide-Range,1,,,,,,,Lavasioth Carapace,4,Lavasioth Fang+,4,Lavasioth Scale+,6,Gajau Scale,6,88,Streamstone Shard,1,Bird Wyvern Gem,1,0,950
Lavasioth Vambraces β,0,6,3,0,0,13,56,76,3,-3,1,-2,2,Affinity Sliding,1,,,,,,,,,Lavasioth Carapace,4,Lavasioth Fang+,4,Lavasioth Scale+,6,Gajau Scale,6,88,Streamstone Shard,1,Bird Wyvern Gem,1,0,960
Legiana Vambraces α,0,6,0,0,0,13,54,74,-1,2,-3,3,0,Airborne,1,Evade Window,1,Legiana Favor,1,,,,,Legiana Hide+,4,Legiana Scale+,4,Legiana Tail Webbing,3,Novacrystal,1,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,970
Legiana Vambraces β,0,6,3,0,0,13,54,74,-1,2,-3,3,0,Airborne,1,Legiana Favor,1,,,,,,,Legiana Hide+,4,Legiana Scale+,4,Legiana Tail Webbing,3,Novacrystal,1,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,980
Odogaron Vambraces α,0,6,0,0,0,13,54,74,2,2,-2,-3,0,Constitution,1,Critical Eye,1,Odogaron Mastery,1,,,,,Odogaron Sinew+,4,Odogaron Scale+,4,Odogaron Tail,2,Hornetaur Innerwing,4,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,990
Odogaron Vambraces β,0,6,1,0,0,13,54,74,2,2,-2,-3,0,Constitution,1,Odogaron Mastery,1,,,,,,,Odogaron Sinew+,4,Odogaron Scale+,4,Odogaron Tail,2,Hornetaur Innerwing,4,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,1000
Rathalos Vambraces α,0,6,0,0,0,13,54,74,3,1,-2,1,-3,Fire Resistance,2,Attack Boost,1,Rathalos Mastery,1,,,,,Rathalos Carapace,6,Rathalos Wing,2,Inferno Sac,2,Rath Wingtalon,6,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,1010
Rathalos Vambraces β,0,6,1,0,0,13,54,74,3,1,-2,1,-3,Fire Resistance,2,Rathalos Mastery,1,,,,,,,Rathalos Carapace,6,Rathalos Wing,2,Inferno Sac,2,Rath Wingtalon,6,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,1020
Rath Soul Braces α,0,7,1,0,0,13,56,68,3,2,2,-3,-4,Focus,1,Windproof,1,Rathalos Mastery,1,,,,,Azure Rathalos Carapace,6,Azure Rathalos Wing,2,Azure Rathalos Tail,1,Barnos Talon,4,82,Streamstone,1,Wyvern Gem,1,0,1030
Rath Soul Braces β,0,7,2,0,0,13,56,68,3,2,2,-3,-4,Focus,1,Rathalos Mastery,1,,,,,,,Azure Rathalos Carapace,6,Azure Rathalos Wing,2,Azure Rathalos Tail,1,Barnos Talon,4,82,Streamstone,1,Wyvern Gem,1,0,1040
