#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号
Hornetaur Greaves,0,3,0,0,0,8,18,46,-1,-1,0,0,2,Handicraft,1,,,,,,,,,Hornetaur Wing,2,Hornetaur Shell,2,Dragonite Ore,3,Monster Fluid,2,70,Streamstone Shard,1,Fucium Ore,3,0,170
Anja Greaves,0,3,0,0,0,5,20,48,3,-3,-1,-1,0,Artillery,1,Anjanath Power,1,,,,,,,Anjanath Scale,2,Anjanath Pelt,1,Flame Sac,1,Machalite Ore,2,72,Streamstone Shard,1,Fucium Ore,3,0,180
Rathian Greaves,0,3,0,0,0,5,22,50,2,0,-2,0,-3,Recovery Up,1,,,,,,,,,Rathian Shell,3,Rathian Spike,1,Rath Wingtalon,2,Rathian Plate,1,74,Streamstone Shard,1,Fucium Ore,3,0,190
Tzitzi Greaves,0,3,0,0,0,6,18,46,0,0,-3,-2,0,Sleep Resistance,1,,,,,,,,,Tzitzi-Ya-Ku Scale,2,Tzitzi-Ya-Ku Hide,1,Tzitzi-Ya-Ku Claw,1,,,70,Streamstone Shard,1,Fucium Ore,3,0,200
Lumu Greaves,0,3,0,0,0,6,20,48,-3,2,0,1,0,Windproof,1,,,,,,,,,Paolumu Scale,2,Paolumu Pelt,2,Paolumu Webbing,1,Coral Bone,1,72,Streamstone Shard,1,Fucium Ore,3,0,210
Girros Greaves,0,3,0,0,0,8,20,48,0,-3,2,0,1,Paralysis Attack,1,,,,,,,,,Great Girros Hide,2,Great Girros Fang,2,Great Girros Scale,2,Monster Bone M,4,72,Streamstone Shard,1,Fucium Ore,3,0,220
Baan Greaves,0,3,0,0,0,8,24,52,0,2,0,-1,-2,Bleeding Resistance,1,,,,,,,,,Radobaan Shell,2,Radobaan Scale,2,Wyvern Bonemass,2,Warped Bone,2,76,Streamstone Shard,1,Fucium Ore,3,0,230
Ingot Greaves,0,4,0,0,0,8,28,52,-2,0,3,-1,0,Defense Boost,1,,,,,,,,,Dragonite Ore,2,Monster Bone+,1,Earth Crystal,3,Machalite Ore,3,72,Streamstone Shard,1,Fucium Ore,3,0,240
Death Stench Heel,0,4,0,0,0,8,32,56,3,2,-2,3,-4,Handicraft,1,,,,,,,,,Sinister Cloth,1,Coral Bone,3,Monster Bone+,4,Lightcrystal,1,76,Streamstone Shard,1,Fucium Ore,3,0,250
Brigade Boots,0,4,0,0,0,5,28,52,1,0,2,0,2,Scholar,1,,,,,,,,,Pinnacle Coin,3,Kulu Coin,2,Rathian Coin,4,Lightcrystal,1,72,Streamstone Shard,1,Fucium Ore,3,0,260
Legiana Greaves,0,4,0,0,0,8,30,54,-1,2,-3,3,0,Ice Resistance,1,Legiana Blessing,1,,,,,,,Legiana Scale,2,Legiana Hide,1,Legiana Claw,1,Dragonite Ore,2,74,Streamstone Shard,1,Fucium Ore,3,0,270
Odogaron Greaves,0,4,0,0,0,8,30,54,2,2,-2,-3,0,Quick Sheath,1,Odogaron Power,1,,,,,,,Odogaron Scale,2,Odogaron Sinew,1,Odogaron Claw,1,Dragonite Ore,2,74,Streamstone Shard,1,Fucium Ore,3,0,280
Rathalos Greaves,0,4,0,0,0,8,30,54,3,1,-2,1,-3,Jump Master,1,Rathalos Power,1,,,,,,,Rathalos Shell,3,Rathalos Scale,2,Rath Wingtalon,2,Rathalos Tail,1,74,Streamstone Shard,1,Fucium Ore,3,0,290
Diablos Greaves,0,4,0,0,0,8,32,56,3,-2,0,-3,2,Tremor Resistance,1,Diablos Power,1,,,,,,,Diablos Ridge,2,Diablos Shell,2,Twisted Horn,1,Monster Bone+,3,76,Streamstone Shard,1,Fucium Ore,3,0,300
Kirin Leg Guards,0,4,0,0,0,8,34,58,-3,-2,4,-2,2,Thunder Resistance,1,Kirin Blessing,1,,,,,,,Kirin Hide,2,Kirin Thunderhorn,1,Paolumu Shell,2,,,78,Streamstone Shard,1,Fucium Ore,3,0,310
Blossom Boots,0,3,0,0,0,3,18,46,1,1,4,1,1,Recovery Speed,1,,,,,,,,,Spring Blossom Ticket,1,Earth Crystal,2,,,,,70,Streamstone Shard,1,Fucium Ore,3,0,320
Diver's Boots,0,3,0,0,0,3,22,50,1,4,1,1,1,Hunger Resistance,1,,,,,,,,,Summer Twilight Ticket,1,Coral Crystal,1,,,,,74,Streamstone Shard,1,Fucium Ore,3,0,330
Harvest Raiz,0,3,0,0,0,6,26,54,4,1,1,1,1,Mushroomancer,1,,,,,,,,,Autumn Harvest Ticket,1,Sturdy Bone,1,,,,,78,Streamstone Shard,1,Fucium Ore,3,0,340
Orion Boots,0,4,0,0,0,8,30,54,1,1,1,4,1,Heroics,1,,,,,,,,,Winter Star Ticket,1,Monster Bone+,2,,,,,74,Streamstone Shard,1,Fucium Ore,3,0,350
Gala Suit Slacks,0,4,0,0,0,8,34,58,1,1,1,1,4,Divine Blessing,1,Astera Blessing,1,,,,,,,Appreciation Ticket,1,Monster Bone+,1,,,,,78,Streamstone Shard,1,Fucium Ore,3,0,360
Butterfly Crura,1,3,0,0,0,4,22,50,-1,-1,2,0,2,Marathon Runner,1,,,,,,,,,Spring Insect Field Guide,1,Great Hornfly,1,Vespoid Shell,1,Monster Fluid,1,74,Streamstone Shard,1,Fucium Ore,3,0,370
Queen Beetle Crura,2,3,0,0,0,4,22,50,-1,-1,2,0,2,Marathon Runner,1,,,,,,,,,Spring Insect Field Guide,1,Great Hornfly,1,Vespoid Shell,1,Monster Fluid,1,74,Streamstone Shard,1,Fucium Ore,3,0,380
Leather Trousers α,0,5,0,0,0,11,32,54,2,0,0,0,0,Cliffhanger,1,,,,,,,,,Carbalite Ore,2,High-quality Pelt,1,,,,,70,Streamstone Shard,1,Dragonbone Relic,1,0,390
Leather Trousers β,0,5,1,0,0,11,32,54,2,0,0,0,0,,,,,,,,,,,Carbalite Ore,2,High-quality Pelt,1,,,,,70,Streamstone Shard,1,Dragonbone Relic,1,0,400
Chainmail Trousers α,0,5,0,0,0,11,32,54,0,2,0,0,0,Recovery Up,1,,,,,,,,,Carbalite Ore,2,Dragonite Ore,2,,,,,70,Streamstone Shard,1,Dragonbone Relic,1,0,410
Chainmail Trousers β,0,5,1,0,0,11,32,54,0,2,0,0,0,,,,,,,,,,,Carbalite Ore,2,Dragonite Ore,2,,,,,70,Streamstone Shard,1,Dragonbone Relic,1,0,420
Hunter's Greaves α,0,5,0,0,0,11,36,58,2,2,0,0,0,Scenthound,1,Invalid Message,1,,,,,,,Jagras Hide+,2,Quality Bone,3,,,,,74,Streamstone Shard,1,Dragonbone Relic,1,0,430
Hunter's Greaves β,0,5,1,0,0,11,36,58,2,2,0,0,0,Scenthound,1,,,,,,,,,Jagras Hide+,2,Quality Bone,3,,,,,74,Streamstone Shard,1,Dragonbone Relic,1,0,440
Bone Greaves α,0,5,0,0,0,11,36,58,2,0,2,0,2,Entomologist,2,,,,,,,,,Quality Bone,2,Monster Bone+,2,Boulder Bone,3,,,74,Streamstone Shard,1,Dragonbone Relic,1,0,450
Bone Greaves β,0,5,1,0,0,11,36,58,2,0,2,0,2,Entomologist,1,,,,,,,,,Quality Bone,2,Monster Bone+,2,Boulder Bone,3,,,74,Streamstone Shard,1,Dragonbone Relic,1,0,460
Alloy Greaves α,0,5,0,0,0,11,36,58,-2,0,-2,-2,0,Speed Sharpening,2,,,,,,,,,Carbalite Ore,2,Dragonite Ore,4,Lightcrystal,1,Machalite Ore,5,74,Streamstone Shard,1,Dragonbone Relic,1,0,470
Alloy Greaves β,0,5,1,0,0,11,36,58,-2,0,-2,-2,0,Speed Sharpening,1,,,,,,,,,Carbalite Ore,2,Dragonite Ore,4,Lightcrystal,1,Machalite Ore,5,74,Streamstone Shard,1,Dragonbone Relic,1,0,480
King Beetle Crura α,1,5,1,0,0,11,42,64,-1,-1,2,0,2,Forager's Luck,1,Evade Window,1,,,,,,,Great Hornfly,1,Carbalite Ore,2,Monster Broth,2,Omniplegia Sac,2,80,Streamstone Shard,1,Dragonbone Relic,1,0,490
King Beetle Crura β,1,5,2,1,0,11,42,64,-1,-1,2,0,2,Forager's Luck,1,,,,,,,,,Great Hornfly,1,Carbalite Ore,2,Monster Broth,2,Omniplegia Sac,2,80,Streamstone Shard,1,Dragonbone Relic,1,0,500
Butterfly Crura α,2,5,1,0,0,11,42,64,-1,-1,2,0,2,Forager's Luck,1,Evade Window,1,,,,,,,Great Hornfly,1,Carbalite Ore,2,Monster Broth,2,Omniplegia Sac,2,80,Streamstone Shard,1,Dragonbone Relic,1,0,510
Butterfly Crura β,2,5,2,1,0,11,42,64,-1,-1,2,0,2,Forager's Luck,1,,,,,,,,,Great Hornfly,1,Carbalite Ore,2,Monster Broth,2,Omniplegia Sac,2,80,Streamstone Shard,1,Dragonbone Relic,1,0,520
Vespoid Greaves α,0,5,0,0,0,11,38,60,-2,1,1,1,2,Honey Hunter,1,Paralysis Resistance,1,,,,,,,Vespoid Carapace,4,Vespoid Innerwing,2,Monster Broth,3,Omniplegia Sac,2,76,Streamstone Shard,1,Dragonbone Relic,1,0,530
Vespoid Greaves β,0,5,1,0,0,11,38,60,-2,1,1,1,2,Honey Hunter,1,,,,,,,,,Vespoid Carapace,4,Vespoid Innerwing,2,Monster Broth,3,Omniplegia Sac,2,76,Streamstone Shard,1,Dragonbone Relic,1,0,540
Hornetaur Greaves α,0,5,0,0,0,11,38,60,-1,-1,0,0,2,Handicraft,1,Dragon Attack,1,,,,,,,Hornetaur Carapace,4,Hornetaur Innerwing,2,Hornetaur Head,1,Novacrystal,1,76,Streamstone Shard,1,Dragonbone Relic,1,0,550
Hornetaur Greaves β,0,5,1,0,0,11,38,60,-1,-1,0,0,2,Handicraft,1,,,,,,,,,Hornetaur Carapace,4,Hornetaur Innerwing,2,Hornetaur Head,1,Novacrystal,1,76,Streamstone Shard,1,Dragonbone Relic,1,0,560
Gajau Boots α,0,5,0,0,0,11,40,62,0,5,0,0,0,Aquatic/Polar Mobility,2,Water Attack,1,,,,,,,Gajau Scale,4,Grand Gajau Whisker,2,Carbalite Ore,3,,,78,Streamstone Shard,1,Dragonbone Relic,1,0,570
Gajau Boots β,0,5,1,0,0,11,40,62,0,5,0,0,0,Aquatic/Polar Mobility,1,Water Attack,1,,,,,,,Gajau Scale,4,Grand Gajau Whisker,2,Carbalite Ore,3,,,78,Streamstone Shard,1,Dragonbone Relic,1,0,580
Jagras Greaves α,0,5,0,0,0,11,40,62,-2,2,-1,-1,1,Speed Crawler,1,Free Meal,1,,,,,,,Great Jagras Scale+,4,Great Jagras Hide+,2,Great Jagras Mane,2,Jagras Scale+,1,78,Streamstone Shard,1,Dragonbone Relic,1,0,590
Jagras Greaves β,0,5,1,0,0,11,40,62,-2,2,-1,-1,1,Speed Crawler,1,,,,,,,,,Great Jagras Scale+,4,Great Jagras Hide+,2,Great Jagras Mane,2,Jagras Scale+,1,78,Streamstone Shard,1,Dragonbone Relic,1,0,600
Kulu Greaves α,0,5,0,0,0,11,40,62,0,-3,0,1,0,Critical Eye,1,Item Prolonger,1,,,,,,,Kulu-Ya-Ku Hide+,4,Kulu-Ya-Ku Scale+,6,Wingdrake Hide+,2,Earth Crystal,2,78,Streamstone Shard,1,Dragonbone Relic,1,0,610
Kulu Greaves β,0,5,1,0,0,11,40,62,0,-3,0,1,0,Critical Eye,1,,,,,,,,,Kulu-Ya-Ku Hide+,4,Kulu-Ya-Ku Scale+,6,Wingdrake Hide+,2,Earth Crystal,2,78,Streamstone Shard,1,Dragonbone Relic,1,0,620
Tzitzi Greaves α,0,5,0,0,0,11,40,62,0,0,-3,-2,0,Sleep Resistance,2,,,,,,,,,Tzitzi-Ya-Ku Scale+,4,Tzitzi-Ya-Ku Hide+,2,Tzitzi-Ya-Ku Claw+,2,Carbalite Ore,6,78,Streamstone Shard,1,Dragonbone Relic,1,0,630
Tzitzi Greaves β,0,5,1,0,0,11,40,62,0,0,-3,-2,0,Sleep Resistance,1,,,,,,,,,Tzitzi-Ya-Ku Scale+,4,Tzitzi-Ya-Ku Hide+,2,Tzitzi-Ya-Ku Claw+,2,Carbalite Ore,6,78,Streamstone Shard,1,Dragonbone Relic,1,0,640
Girros Greaves α,0,5,0,0,0,11,40,62,0,-3,2,0,1,Paralysis Attack,2,,,,,,,,,Great Girros Hide+,2,Great Girros Fang+,4,Great Girros Scale+,4,Warped Bone,5,78,Streamstone Shard,1,Dragonbone Relic,1,0,650
Girros Greaves β,0,5,1,0,0,11,40,62,0,-3,2,0,1,Paralysis Attack,1,,,,,,,,,Great Girros Hide+,2,Great Girros Fang+,4,Great Girros Scale+,4,Warped Bone,5,78,Streamstone Shard,1,Dragonbone Relic,1,0,660
Pukei Greaves α,0,5,0,0,0,11,42,64,0,3,-3,0,1,Botanist,2,Survival Expert,1,,,,,,,Pukei-Pukei Carapace,2,Pukei-Pukei Sac+,2,Pukei-Pukei Scale+,4,Monster Keenbone,2,80,Streamstone Shard,1,Dragonbone Relic,1,0,670
Pukei Greaves β,0,5,2,0,0,11,42,64,0,3,-3,0,1,Botanist,1,,,,,,,,,Pukei-Pukei Carapace,2,Pukei-Pukei Sac+,2,Pukei-Pukei Scale+,4,Monster Keenbone,2,80,Streamstone Shard,1,Dragonbone Relic,1,0,680
Barroth Greaves α,0,5,0,0,0,11,42,64,-3,-1,3,-1,0,Stun Resistance,2,Marathon Runner,1,,,,,,,Barroth Ridge+,2,Barroth Carapace,4,Fertile Mud,4,Monster Keenbone,4,80,Streamstone Shard,1,Dragonbone Relic,1,0,690
Barroth Greaves β,0,5,1,1,0,11,42,64,-3,-1,3,-1,0,Stun Resistance,1,,,,,,,,,Barroth Ridge+,2,Barroth Carapace,4,Fertile Mud,4,Monster Keenbone,4,80,Streamstone Shard,1,Dragonbone Relic,1,0,700
Anja Greaves α,0,5,0,0,0,11,44,66,3,-3,-1,-1,0,Artillery,2,Anjanath Will,1,,,,,,,Anjanath Scale+,4,Anjanath Pelt+,3,Inferno Sac,2,Carbalite Ore,5,82,Streamstone Shard,1,Dragonbone Relic,1,0,710
Anja Greaves β,0,5,1,0,0,11,44,66,3,-3,-1,-1,0,Artillery,1,Anjanath Will,1,,,,,,,Anjanath Scale+,4,Anjanath Pelt+,3,Inferno Sac,2,Carbalite Ore,5,82,Streamstone Shard,1,Dragonbone Relic,1,0,720
Jyura Greaves α,0,5,0,0,0,11,44,66,-1,2,-3,0,0,Focus,2,,,,,,,,,Jyuratodus Carapace,4,Jyuratodus Fang+,2,Jyuratodus Fin+,2,Wyvern Gem,1,82,Streamstone Shard,1,Dragonbone Relic,1,0,730
Jyura Greaves β,0,5,2,0,0,11,44,66,-1,2,-3,0,0,Focus,1,,,,,,,,,Jyuratodus Carapace,4,Jyuratodus Fang+,2,Jyuratodus Fin+,2,Wyvern Gem,1,82,Streamstone Shard,1,Dragonbone Relic,1,0,740
Kadachi Greaves α,0,5,0,0,0,11,44,66,0,-3,3,0,0,Thunder Resistance,2,Constitution,1,,,,,,,Tobi-Kadachi Scale+,4,Tobi-Kadachi Membrane,2,Thunder Sac,1,High-quality Pelt,3,82,Streamstone Shard,1,Dragonbone Relic,1,0,750
Kadachi Greaves β,0,5,1,1,0,11,44,66,0,-3,3,0,0,Thunder Resistance,1,,,,,,,,,Tobi-Kadachi Scale+,4,Tobi-Kadachi Membrane,2,Thunder Sac,1,High-quality Pelt,3,82,Streamstone Shard,1,Dragonbone Relic,1,0,760
Lumu Greaves α,0,5,0,0,0,11,44,66,-3,2,0,1,0,Windproof,1,Stamina Surge,1,,,,,,,Paolumu Scale+,4,Paolumu Pelt+,2,Paolumu Wing,4,Wyvern Gem,1,82,Streamstone Shard,1,Dragonbone Relic,1,0,770
Lumu Greaves β,0,5,1,1,0,11,44,66,-3,2,0,1,0,Windproof,1,,,,,,,,,Paolumu Scale+,4,Paolumu Pelt+,2,Paolumu Wing,4,Wyvern Gem,1,82,Streamstone Shard,1,Dragonbone Relic,1,0,780
Rathian Greaves α,0,5,0,0,0,11,46,68,2,0,-2,0,-3,Recovery Up,2,,,,,,,,,Rathian Carapace,6,Rathian Spike+,3,Rath Wingtalon,4,Rathian Ruby,1,84,Streamstone Shard,1,Dragonbone Relic,1,0,790
Rathian Greaves β,0,5,1,0,0,11,46,68,2,0,-2,0,-3,Recovery Up,1,,,,,,,,,Rathian Carapace,6,Rathian Spike+,3,Rath Wingtalon,4,Rathian Ruby,1,84,Streamstone Shard,1,Dragonbone Relic,1,0,800
Rath Heart Greaves α,0,6,0,0,0,13,52,72,3,0,-3,0,-4,Tool Specialist,1,Windproof,1,Pink Rathian Mastery,1,,,,,Pink Rathian Scale+,4,Pink Rathian Carapace,2,Monster Hardbone,3,Shamos Hide+,3,84,Streamstone Shard,1,Bird Wyvern Gem,1,0,810
Rath Heart Greaves β,0,6,2,0,0,13,52,72,3,0,-3,0,-4,Tool Specialist,1,Pink Rathian Mastery,1,,,,,,,Pink Rathian Scale+,4,Pink Rathian Carapace,2,Monster Hardbone,3,Shamos Hide+,3,84,Streamstone Shard,1,Bird Wyvern Gem,1,0,820
Baan Greaves α,0,6,0,0,0,11,46,66,0,2,0,-1,-2,Bleeding Resistance,2,,,,,,,,,Radobaan Carapace,4,Radobaan Scale+,4,Radobaan Oilshell,2,Wyvern Bonemass,5,78,Streamstone Shard,1,Bird Wyvern Gem,1,0,830
Baan Greaves β,0,6,1,0,0,11,46,66,0,2,0,-1,-2,Bleeding Resistance,1,,,,,,,,,Radobaan Carapace,4,Radobaan Scale+,4,Radobaan Oilshell,2,Wyvern Bonemass,5,78,Streamstone Shard,1,Bird Wyvern Gem,1,0,840
Dodogama Greaves α,0,5,0,0,0,13,48,70,2,0,-3,0,2,Capacity Boost,1,Blast Attack,1,,,,,,,Dodogama Hide+,6,Dodogama Tail,2,Dodogama Talon,4,Wyvern Gem,1,86,Streamstone Shard,1,Dragonbone Relic,1,0,850
Dodogama Greaves β,0,5,1,0,0,13,48,70,2,0,-3,0,2,Capacity Boost,1,,,,,,,,,Dodogama Hide+,6,Dodogama Tail,2,Dodogama Talon,4,Wyvern Gem,1,86,Streamstone Shard,1,Dragonbone Relic,1,0,860
Zorah Spurs α,0,6,0,0,0,11,44,64,4,-3,-1,-2,-3,Bombardier,2,Earplugs,1,Zorah Magdaros Mastery,1,,,,,Zorah Magdaros Ridge,3,Zorah Magdaros Carapace,3,Zorah Magdaros Magma,3,Zorah Magdaros Gem,1,76,Streamstone Shard,1,Bird Wyvern Gem,1,0,870
Zorah Spurs β,0,6,2,0,0,11,44,64,4,-3,-1,-2,-3,Bombardier,2,Zorah Magdaros Mastery,1,,,,,,,Zorah Magdaros Ridge,3,Zorah Magdaros Carapace,3,Zorah Magdaros Magma,3,Zorah Magdaros Gem,1,76,Streamstone Shard,1,Bird Wyvern Gem,1,0,880
High Metal Greaves α,0,6,0,0,0,13,50,70,0,-1,-2,3,0,Heavy Artillery,1,Ice Resistance,1,,,,,,,Fucium Ore,3,Carbalite Ore,4,Dragonvein Crystal,2,Barnos Hide+,3,82,Streamstone Shard,1,Bird Wyvern Gem,1,0,890
High Metal Greaves β,0,6,1,0,0,13,50,70,0,-1,-2,3,0,Heavy Artillery,1,,,,,,,,,Fucium Ore,3,Carbalite Ore,4,Dragonvein Crystal,2,Barnos Hide+,3,82,Streamstone Shard,1,Bird Wyvern Gem,1,0,900
Ingot Greaves α,0,6,0,0,0,13,50,70,-2,0,3,-1,0,Defense Boost,2,Windproof,1,,,,,,,Fucium Ore,1,Monster Hardbone,2,Dragonite Ore,4,Gastodon Carapace,2,82,Streamstone Shard,1,Bird Wyvern Gem,1,0,910
Ingot Greaves β,0,6,2,0,0,13,50,70,-2,0,3,-1,0,Defense Boost,2,,,,,,,,,Fucium Ore,1,Monster Hardbone,2,Dragonite Ore,4,Gastodon Carapace,2,82,Streamstone Shard,1,Bird Wyvern Gem,1,0,920
Brigade Boots α,0,6,1,0,0,13,52,72,1,0,2,0,2,Scholar,1,Geologist,1,,,,,,,Hunter King Coin,3,Gama Coin,3,Rathalos Coin,3,Monster Hardbone,2,84,Streamstone Shard,1,Bird Wyvern Gem,1,0,930
Brigade Boots β,0,6,3,0,0,13,52,72,1,0,2,0,2,Scholar,1,,,,,,,,,Hunter King Coin,3,Gama Coin,3,Rathalos Coin,3,Monster Hardbone,2,84,Streamstone Shard,1,Bird Wyvern Gem,1,0,940
Lavasioth Greaves α,0,6,1,0,0,13,56,76,3,-3,1,-2,2,Spread/Power Shots,1,Fire Attack,1,,,,,,,Lavasioth Carapace,6,Lavasioth Fang+,2,Lavasioth Fin+,4,Firecell Stone,1,88,Streamstone Shard,1,Bird Wyvern Gem,1,0,950
Lavasioth Greaves β,0,6,2,0,0,13,56,76,3,-3,1,-2,2,Spread/Power Shots,1,,,,,,,,,Lavasioth Carapace,6,Lavasioth Fang+,2,Lavasioth Fin+,4,Firecell Stone,1,88,Streamstone Shard,1,Bird Wyvern Gem,1,0,960
Legiana Greaves α,0,6,0,0,0,13,54,74,-1,2,-3,3,0,Ice Resistance,2,Critical Draw,1,Legiana Favor,1,,,,,Legiana Scale+,4,Legiana Hide+,2,Legiana Wing,2,Tzitzi-Ya-Ku Hide+,2,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,970
Legiana Greaves β,0,6,3,0,0,13,54,74,-1,2,-3,3,0,Ice Resistance,2,Legiana Favor,1,,,,,,,Legiana Scale+,4,Legiana Hide+,2,Legiana Wing,2,Tzitzi-Ya-Ku Hide+,2,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,980
Odogaron Greaves α,0,6,0,0,0,13,54,74,2,2,-2,-3,0,Quick Sheath,1,Critical Eye,1,Odogaron Mastery,1,,,,,Odogaron Scale+,4,Odogaron Sinew+,2,Odogaron Fang+,2,Monster Hardbone,6,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,990
Odogaron Greaves β,0,6,1,0,0,13,54,74,2,2,-2,-3,0,Quick Sheath,1,Odogaron Mastery,1,,,,,,,Odogaron Scale+,4,Odogaron Sinew+,2,Odogaron Fang+,2,Monster Hardbone,6,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,1000
Rathalos Greaves α,0,6,0,0,0,13,54,74,3,1,-2,1,-3,Jump Master,1,Weakness Exploit,1,Rathalos Mastery,1,,,,,Rathalos Carapace,6,Rathalos Scale+,4,Inferno Sac,2,Rathalos Plate,1,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,1010
Rathalos Greaves β,0,6,3,0,0,13,54,74,3,1,-2,1,-3,Jump Master,1,Rathalos Mastery,1,,,,,,,Rathalos Carapace,6,Rathalos Scale+,4,Inferno Sac,2,Rathalos Plate,1,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,1020
Rath Soul Greaves α,0,7,0,0,0,13,56,68,3,2,2,-3,-4,Focus,1,Cliffhanger,1,Rathalos Mastery,1,,,,,Azure Rathalos Carapace,6,Azure Rathalos Scale+,4,Azure Rathalos Tail,2,Rathalos Plate,1,82,Streamstone,1,Wyvern Gem,1,0,1030
Rath Soul Greaves β,0,7,1,0,0,13,56,68,3,2,2,-3,-4,Focus,1,Rathalos Mastery,1,,,,,,,Azure Rathalos Carapace,6,Azure Rathalos Scale+,4,Azure Rathalos Tail,2,Rathalos Plate,1,82,Streamstone,1,Wyvern Gem,1,0,1040
