#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号
Tzitzi Coil,0,3,0,0,0,6,18,46,0,0,-3,-2,0,Wide-Range,1,,,,,,,,,Tzitzi-Ya-Ku Hide,2,Tzitzi-Ya-Ku Claw,2,Coral Crystal,2,,,70,Streamstone Shard,1,Fucium Ore,3,0,190
Lumu Coil,0,3,0,0,0,6,20,48,-3,2,0,1,0,Divine Blessing,1,,,,,,,,,Paolumu Pelt,2,Paolumu Scale,1,Paolumu Shell,1,,,72,Streamstone Shard,1,Fucium Ore,3,0,200
Girros Coil,0,3,0,0,0,8,20,48,0,-3,2,0,1,Effluvial Expert,1,,,,,,,,,Great Girros Hide,2,Great Girros Tail,1,Great Girros Hood,1,Girros Hide,3,72,Streamstone Shard,1,Fucium Ore,3,0,210
Baan Coil,0,3,0,0,0,8,24,52,0,2,0,-1,-2,Guard,1,,,,,,,,,Radobaan Scale,2,Radobaan Oilshell,1,Sleep Sac,1,Monster Bone L,3,76,Streamstone Shard,1,Fucium Ore,3,0,220
Ingot Coil,0,4,0,0,0,8,28,52,-2,0,3,-1,0,Windproof,1,,,,,,,,,Dragonite Ore,3,Monster Bone+,1,Coral Crystal,3,Lightcrystal,1,72,Streamstone Shard,1,Fucium Ore,3,0,230
Death Stench Bowels,0,4,0,0,0,8,32,56,3,2,-2,3,-4,Dragon Attack,1,,,,,,,,,Sinister Cloth,1,Warped Bone,1,Sturdy Bone,2,Monster Fluid,2,76,Streamstone Shard,1,Fucium Ore,3,0,240
Brigade Coil,0,4,0,0,0,8,28,52,1,0,2,0,2,Geologist,1,,,,,,,,,Pinnacle Coin,2,Pukei Coin,2,Kulu Coin,2,Commendation,1,72,Streamstone Shard,1,Fucium Ore,3,0,250
Legiana Coil,0,4,0,0,0,8,30,54,-1,2,-3,3,0,Ice Attack,1,Legiana Blessing,1,,,,,,,Legiana Hide,2,Legiana Scale,2,Frost Sac,1,Shamos Hide,2,74,Streamstone Shard,1,Fucium Ore,3,0,260
Odogaron Coil,0,4,0,0,0,8,30,54,2,2,-2,-3,0,Critical Eye,1,Odogaron Power,1,,,,,,,Odogaron Sinew,3,Odogaron Claw,2,Odogaron Fang,2,Odogaron Plate,1,74,Streamstone Shard,1,Fucium Ore,3,0,270
Rathalos Coil,0,4,0,0,0,8,30,54,3,1,-2,1,-3,Fire Attack,1,Rathalos Power,1,,,,,,,Rathalos Scale,2,Rathalos Shell,2,Rathalos Webbing,1,Monster Bone+,3,74,Streamstone Shard,1,Fucium Ore,3,0,280
Diablos Coil,0,4,0,0,0,8,32,56,3,-2,0,-3,2,Marathon Runner,1,Diablos Power,1,,,,,,,Diablos Shell,2,Diablos Ridge,1,Diablos Fang,1,Monster Bone L,2,76,Streamstone Shard,1,Fucium Ore,3,0,290
Kirin Hoop,0,4,0,0,0,8,34,58,-3,-2,4,-2,2,Thunder Attack,1,Kirin Blessing,1,,,,,,,Kirin Hide,2,Kirin Thunderhorn,1,Kirin Tail,1,Electro Sac,1,78,Streamstone Shard,1,Fucium Ore,3,0,300
Blossom Coat,0,3,0,0,0,3,18,46,1,1,4,1,1,Scoutfly Range Up,1,,,,,,,,,Spring Blossom Ticket,1,Earth Crystal,1,,,,,70,Streamstone Shard,1,Fucium Ore,3,0,310
Diver's Belt,0,3,0,0,0,3,22,50,1,4,1,1,1,Aquatic/Polar Mobility,1,,,,,,,,,Summer Twilight Ticket,1,Coral Crystal,1,,,,,74,Streamstone Shard,1,Fucium Ore,3,0,320
Harvest Hoja,0,3,0,0,0,6,26,54,4,1,1,1,1,Constitution,1,,,,,,,,,Autumn Harvest Ticket,1,Sturdy Bone,1,,,,,78,Streamstone Shard,1,Fucium Ore,3,0,330
Orion Coat,0,4,0,0,0,8,30,54,1,1,1,4,1,Health Boost,1,,,,,,,,,Winter Star Ticket,1,Monster Bone+,1,,,,,74,Streamstone Shard,1,Fucium Ore,3,0,340
Gala Suit Tail,0,4,0,0,0,8,34,58,1,1,1,1,4,Invalid Message,1,Astera Blessing,1,,,,,,,Appreciation Ticket,1,Monster Bone+,1,,,,,78,Streamstone Shard,1,Fucium Ore,3,0,350
Butterfly Elytra,1,3,0,0,0,4,22,50,-1,-1,2,0,2,Defense Boost,1,,,,,,,,,Spring Insect Field Guide,1,Great Hornfly,1,Vespoid Wing,1,Monster Fluid,1,74,Streamstone Shard,1,Fucium Ore,3,0,360
Queen Beetle Elytra,2,3,0,0,0,4,22,50,-1,-1,2,0,2,Defense Boost,1,,,,,,,,,Spring Insect Field Guide,1,Great Hornfly,1,Vespoid Wing,1,Monster Fluid,1,74,Streamstone Shard,1,Fucium Ore,3,0,370
Leather Belt α,0,5,0,0,0,11,32,54,2,0,0,0,0,Stamina Surge,1,,,,,,,,,Carbalite Ore,2,High-quality Pelt,1,,,,,70,Streamstone Shard,1,Dragonbone Relic,1,0,380
Leather Belt β,0,5,1,0,0,11,32,54,2,0,0,0,0,,,,,,,,,,,Carbalite Ore,2,High-quality Pelt,1,,,,,70,Streamstone Shard,1,Dragonbone Relic,1,0,390
Chainmail Belt α,0,5,0,0,0,11,32,54,0,2,0,0,0,Quick Sheath,1,,,,,,,,,Carbalite Ore,2,Dragonite Ore,2,,,,,70,Streamstone Shard,1,Dragonbone Relic,1,0,400
Chainmail Belt β,0,5,1,0,0,11,32,54,0,2,0,0,0,,,,,,,,,,,Carbalite Ore,2,Dragonite Ore,2,,,,,70,Streamstone Shard,1,Dragonbone Relic,1,0,410
Hunter's Coil α,0,5,0,0,0,11,36,58,2,2,0,0,0,Master Gatherer,1,Stealth,1,,,,,,,Jagras Hide+,2,Quality Bone,3,,,,,74,Streamstone Shard,1,Dragonbone Relic,1,0,420
Hunter's Coil β,0,5,1,0,0,11,36,58,2,2,0,0,0,Master Gatherer,1,,,,,,,,,Jagras Hide+,2,Quality Bone,3,,,,,74,Streamstone Shard,1,Dragonbone Relic,1,0,430
Bone Coil α,0,5,0,0,0,11,36,58,2,0,2,0,2,Horn Maestro,1,Master Fisher,1,,,,,,,Quality Bone,2,Monster Bone+,2,Ancient Bone,3,,,74,Streamstone Shard,1,Dragonbone Relic,1,0,440
Bone Coil β,0,5,1,0,0,11,36,58,2,0,2,0,2,Horn Maestro,1,,,,,,,,,Quality Bone,2,Monster Bone+,2,Ancient Bone,3,,,74,Streamstone Shard,1,Dragonbone Relic,1,0,450
Alloy Coil α,0,5,0,0,0,11,36,58,-2,0,-2,-2,0,Poison Resistance,1,Water Resistance,1,,,,,,,Carbalite Ore,3,Dragonite Ore,6,Dragonvein Crystal,3,Machalite Ore,5,74,Streamstone Shard,1,Dragonbone Relic,1,0,460
Alloy Coil β,0,5,1,0,0,11,36,58,-2,0,-2,-2,0,Poison Resistance,1,,,,,,,,,Carbalite Ore,3,Dragonite Ore,6,Dragonvein Crystal,3,Machalite Ore,5,74,Streamstone Shard,1,Dragonbone Relic,1,0,470
King Beetle Elytra α,1,5,1,0,0,11,42,64,-1,-1,2,0,2,Honey Hunter,1,Quick Sheath,1,,,,,,,Great Hornfly,1,Dragonvein Crystal,2,Vespoid Carapace,3,Thunder Sac,2,80,Streamstone Shard,1,Dragonbone Relic,1,0,480
King Beetle Elytra β,1,5,2,1,0,11,42,64,-1,-1,2,0,2,Honey Hunter,1,,,,,,,,,Great Hornfly,1,Dragonvein Crystal,2,Vespoid Carapace,3,Thunder Sac,2,80,Streamstone Shard,1,Dragonbone Relic,1,0,490
Butterfly Elytra α,2,5,1,0,0,11,42,64,-1,-1,2,0,2,Honey Hunter,1,Quick Sheath,1,,,,,,,Great Hornfly,1,Dragonvein Crystal,2,Vespoid Carapace,3,Thunder Sac,2,80,Streamstone Shard,1,Dragonbone Relic,1,0,500
Butterfly Elytra β,2,5,2,1,0,11,42,64,-1,-1,2,0,2,Honey Hunter,1,,,,,,,,,Great Hornfly,1,Dragonvein Crystal,2,Vespoid Carapace,3,Thunder Sac,2,80,Streamstone Shard,1,Dragonbone Relic,1,0,510
Vespoid Coil α,0,5,0,0,0,11,38,60,-2,1,1,1,2,Paralysis Resistance,2,,,,,,,,,Vespoid Carapace,3,Vespoid Innerwing,2,Monster Keenbone,2,,,76,Streamstone Shard,1,Dragonbone Relic,1,0,520
Vespoid Coil β,0,5,1,0,0,11,38,60,-2,1,1,1,2,Paralysis Resistance,1,,,,,,,,,Vespoid Carapace,3,Vespoid Innerwing,2,Monster Keenbone,2,,,76,Streamstone Shard,1,Dragonbone Relic,1,0,530
Hornetaur Coil α,0,5,0,0,0,11,38,60,-1,-1,0,0,2,Carving Pro,1,Hunger Resistance,1,,,,,,,Hornetaur Carapace,3,Hornetaur Innerwing,2,Monster Broth,2,,,76,Streamstone Shard,1,Dragonbone Relic,1,0,540
Hornetaur Coil β,0,5,1,0,0,11,38,60,-1,-1,0,0,2,Carving Pro,1,,,,,,,,,Hornetaur Carapace,3,Hornetaur Innerwing,2,Monster Broth,2,,,76,Streamstone Shard,1,Dragonbone Relic,1,0,550
Jagras Coil α,0,5,0,0,0,11,40,62,-2,2,-1,-1,1,Fortify,1,Speed Eating,1,,,,,,,Great Jagras Hide+,3,Great Jagras Mane,3,Great Jagras Scale+,4,Jagras Scale+,3,78,Streamstone Shard,1,Dragonbone Relic,1,0,560
Jagras Coil β,0,5,1,0,0,11,40,62,-2,2,-1,-1,1,Fortify,1,,,,,,,,,Great Jagras Hide+,3,Great Jagras Mane,3,Great Jagras Scale+,4,Jagras Scale+,3,78,Streamstone Shard,1,Dragonbone Relic,1,0,570
Kulu Coil α,0,5,0,0,0,11,40,62,0,-3,0,1,0,Item Prolonger,2,,,,,,,,,Kulu-Ya-Ku Hide+,4,Kulu-Ya-Ku Beak+,2,Wingdrake Hide+,3,Earth Crystal,2,78,Streamstone Shard,1,Dragonbone Relic,1,0,580
Kulu Coil β,0,5,2,0,0,11,40,62,0,-3,0,1,0,Item Prolonger,1,,,,,,,,,Kulu-Ya-Ku Hide+,4,Kulu-Ya-Ku Beak+,2,Wingdrake Hide+,3,Earth Crystal,2,78,Streamstone Shard,1,Dragonbone Relic,1,0,590
Tzitzi Coil α,0,5,0,0,0,11,40,62,0,0,-3,-2,0,Wide-Range,2,Water Attack,1,,,,,,,Tzitzi-Ya-Ku Hide+,2,Tzitzi-Ya-Ku Claw+,4,Dragonvein Crystal,3,Lightcrystal,2,78,Streamstone Shard,1,Dragonbone Relic,1,0,600
Tzitzi Coil β,0,5,2,0,0,11,40,62,0,0,-3,-2,0,Wide-Range,1,,,,,,,,,Tzitzi-Ya-Ku Hide+,2,Tzitzi-Ya-Ku Claw+,4,Dragonvein Crystal,3,Lightcrystal,2,78,Streamstone Shard,1,Dragonbone Relic,1,0,610
Girros Coil α,0,5,0,0,0,11,40,62,0,-3,2,0,1,Effluvial Expert,1,Paralysis Attack,1,,,,,,,Great Girros Hide+,4,Great Girros Tail,2,Great Girros Hood+,2,Girros Hide+,4,78,Streamstone Shard,1,Dragonbone Relic,1,0,620
Girros Coil β,0,5,1,0,0,11,40,62,0,-3,2,0,1,Effluvial Expert,1,,,,,,,,,Great Girros Hide+,4,Great Girros Tail,2,Great Girros Hood+,2,Girros Hide+,4,78,Streamstone Shard,1,Dragonbone Relic,1,0,630
Pukei Coil α,0,5,0,0,0,11,42,64,0,3,-3,0,1,Poison Attack,2,,,,,,,,,Pukei-Pukei Carapace,4,Pukei-Pukei Wing,2,Pukei-Pukei Sac+,2,Bird Wyvern Gem,1,80,Streamstone Shard,1,Dragonbone Relic,1,0,640
Pukei Coil β,0,5,1,0,0,11,42,64,0,3,-3,0,1,Poison Attack,1,,,,,,,,,Pukei-Pukei Carapace,4,Pukei-Pukei Wing,2,Pukei-Pukei Sac+,2,Bird Wyvern Gem,1,80,Streamstone Shard,1,Dragonbone Relic,1,0,650
Barroth Coil α,0,5,0,0,0,11,42,64,-3,-1,3,-1,0,Muck Resistance,1,Guard,1,,,,,,,Barroth Carapace,4,Barroth Ridge+,3,Monster Bone+,4,,,80,Streamstone Shard,1,Dragonbone Relic,1,0,660
Barroth Coil β,0,5,2,0,0,11,42,64,-3,-1,3,-1,0,Muck Resistance,1,,,,,,,,,Barroth Carapace,4,Barroth Ridge+,3,Monster Bone+,4,,,80,Streamstone Shard,1,Dragonbone Relic,1,0,670
Anja Coil α,0,5,0,0,0,11,44,66,3,-3,-1,-1,0,Fire Resistance,2,Artillery,1,Anjanath Will,1,,,,,Anjanath Scale+,4,Anjanath Pelt+,3,Anjanath Fang+,3,Piercing Claw,4,82,Streamstone Shard,1,Dragonbone Relic,1,0,680
Anja Coil β,0,5,2,0,0,11,44,66,3,-3,-1,-1,0,Fire Resistance,2,Anjanath Will,1,,,,,,,Anjanath Scale+,4,Anjanath Pelt+,3,Anjanath Fang+,3,Piercing Claw,4,82,Streamstone Shard,1,Dragonbone Relic,1,0,690
Jyura Coil α,0,5,0,0,0,11,44,66,-1,2,-3,0,0,Ice Resistance,2,,,,,,,,,Jyuratodus Scale+,4,Jyuratodus Carapace,2,Torrent Sac,2,,,82,Streamstone Shard,1,Dragonbone Relic,1,0,700
Jyura Coil β,0,5,1,0,0,11,44,66,-1,2,-3,0,0,Ice Resistance,1,,,,,,,,,Jyuratodus Scale+,4,Jyuratodus Carapace,2,Torrent Sac,2,,,82,Streamstone Shard,1,Dragonbone Relic,1,0,710
Kadachi Coil α,0,5,0,0,0,11,44,66,0,-3,3,0,0,Thunder Attack,2,Thunder Resistance,1,,,,,,,Tobi-Kadachi Scale+,4,Tobi-Kadachi Pelt+,3,Thunder Sac,1,Wingdrake Hide+,3,82,Streamstone Shard,1,Dragonbone Relic,1,0,720
Kadachi Coil β,0,5,1,1,0,11,44,66,0,-3,3,0,0,Thunder Attack,1,,,,,,,,,Tobi-Kadachi Scale+,4,Tobi-Kadachi Pelt+,3,Thunder Sac,1,Wingdrake Hide+,3,82,Streamstone Shard,1,Dragonbone Relic,1,0,730
Lumu Coil α,0,5,0,0,0,11,44,66,-3,2,0,1,0,Divine Blessing,2,,,,,,,,,Paolumu Pelt+,4,Paolumu Scale+,2,Paolumu Carapace+,3,Coral Bone,5,82,Streamstone Shard,1,Dragonbone Relic,1,0,740
Lumu Coil β,0,5,1,0,0,11,44,66,-3,2,0,1,0,Divine Blessing,1,,,,,,,,,Paolumu Pelt+,4,Paolumu Scale+,2,Paolumu Carapace+,3,Coral Bone,5,82,Streamstone Shard,1,Dragonbone Relic,1,0,750
Rathian Coil α,0,5,0,0,0,11,46,68,2,0,-2,0,-3,Poison Resistance,2,Health Boost,1,,,,,,,Rathian Scale+,4,Rathian Carapace,2,Inferno Sac,2,Monster Broth,2,84,Streamstone Shard,1,Dragonbone Relic,1,0,760
Rathian Coil β,0,5,1,0,0,11,46,68,2,0,-2,0,-3,Poison Resistance,1,Health Boost,1,,,,,,,Rathian Scale+,4,Rathian Carapace,2,Inferno Sac,2,Monster Broth,2,84,Streamstone Shard,1,Dragonbone Relic,1,0,770
Rath Heart Coil α,0,6,0,0,0,13,52,72,3,0,-3,0,-4,Handicraft,1,Poison Resistance,1,Pink Rathian Mastery,1,,,,,Pink Rathian Carapace,4,Pink Rathian Scale+,3,Monster Hardbone,4,Rathian Plate,1,84,Streamstone Shard,1,Bird Wyvern Gem,1,0,780
Rath Heart Coil β,0,6,1,0,0,13,52,72,3,0,-3,0,-4,Handicraft,1,Pink Rathian Mastery,1,,,,,,,Pink Rathian Carapace,4,Pink Rathian Scale+,3,Monster Hardbone,4,Rathian Plate,1,84,Streamstone Shard,1,Bird Wyvern Gem,1,0,790
Baan Coil α,0,6,0,0,0,11,46,66,0,2,0,-1,-2,Guard,2,,,,,,,,,Radobaan Scale+,4,Radobaan Carapace,3,Coma Sac,3,Wyvern Bonemass,5,78,Streamstone Shard,1,Bird Wyvern Gem,1,0,800
Baan Coil β,0,6,2,0,0,11,46,66,0,2,0,-1,-2,Guard,1,,,,,,,,,Radobaan Scale+,4,Radobaan Carapace,3,Coma Sac,3,Wyvern Bonemass,5,78,Streamstone Shard,1,Bird Wyvern Gem,1,0,810
Dodogama Coil α,0,5,0,0,0,13,48,70,2,0,-3,0,2,Artillery,2,Blast Resistance,1,,,,,,,Dodogama Scale+,4,Dodogama Hide+,2,Dodogama Jaw,1,Gastodon Carapace,5,86,Streamstone Shard,1,Dragonbone Relic,1,0,820
Dodogama Coil β,0,5,1,0,0,13,48,70,2,0,-3,0,2,Artillery,2,,,,,,,,,Dodogama Scale+,4,Dodogama Hide+,2,Dodogama Jaw,1,Gastodon Carapace,5,86,Streamstone Shard,1,Dragonbone Relic,1,0,830
Zorah Spine α,0,6,0,0,0,11,44,64,4,-3,-1,-2,-3,Fortify,1,Tremor Resistance,1,Zorah Magdaros Mastery,1,,,,,Zorah Magdaros Carapace,8,Zorah Magdaros Heat Scale,1,Zorah Magdaros Ridge,3,Zorah Magdaros Magma,2,76,Streamstone Shard,1,Bird Wyvern Gem,1,0,840
Zorah Spine β,0,6,2,0,0,11,44,64,4,-3,-1,-2,-3,Fortify,1,Zorah Magdaros Mastery,1,,,,,,,Zorah Magdaros Carapace,8,Zorah Magdaros Heat Scale,1,Zorah Magdaros Ridge,3,Zorah Magdaros Magma,2,76,Streamstone Shard,1,Bird Wyvern Gem,1,0,850
High Metal Coil α,0,6,0,0,0,13,50,70,0,-1,-2,3,0,Capacity Boost,1,Defense Boost,1,,,,,,,Fucium Ore,3,Carbalite Ore,4,Dragonvein Crystal,2,Barnos Talon,2,82,Streamstone Shard,1,Bird Wyvern Gem,1,0,860
High Metal Coil β,0,6,1,0,0,13,50,70,0,-1,-2,3,0,Capacity Boost,1,,,,,,,,,Fucium Ore,3,Carbalite Ore,4,Dragonvein Crystal,2,Barnos Talon,2,82,Streamstone Shard,1,Bird Wyvern Gem,1,0,870
Ingot Coil α,0,6,0,0,0,13,50,70,-2,0,3,-1,0,Windproof,2,,,,,,,,,Fucium Ore,1,Monster Hardbone,3,Dragonite Ore,4,Gastodon Carapace,3,82,Streamstone Shard,1,Bird Wyvern Gem,1,0,880
Ingot Coil β,0,6,3,0,0,13,50,70,-2,0,3,-1,0,Windproof,1,,,,,,,,,Fucium Ore,1,Monster Hardbone,3,Dragonite Ore,4,Gastodon Carapace,3,82,Streamstone Shard,1,Bird Wyvern Gem,1,0,890
Brigade Coil α,0,6,0,0,0,13,52,72,1,0,2,0,2,Geologist,2,Recovery Speed,1,,,,,,,Hunter King Coin,2,Barroth Coin,4,Gama Coin,3,Monster Hardbone,2,84,Streamstone Shard,1,Bird Wyvern Gem,1,0,900
Brigade Coil β,0,6,1,0,0,13,52,72,1,0,2,0,2,Geologist,2,,,,,,,,,Hunter King Coin,2,Barroth Coin,4,Gama Coin,3,Monster Hardbone,2,84,Streamstone Shard,1,Bird Wyvern Gem,1,0,910
Lavasioth Coil α,0,6,0,0,0,13,56,76,3,-3,1,-2,2,Quick Sheath,2,Recovery Up,1,,,,,,,Lavasioth Scale+,4,Lavasioth Carapace,2,Lavasioth Fang+,2,Grand Gajau Whisker,4,88,Streamstone Shard,1,Bird Wyvern Gem,1,0,920
Lavasioth Coil β,0,6,1,0,0,13,56,76,3,-3,1,-2,2,Quick Sheath,2,,,,,,,,,Lavasioth Scale+,4,Lavasioth Carapace,2,Lavasioth Fang+,2,Grand Gajau Whisker,4,88,Streamstone Shard,1,Bird Wyvern Gem,1,0,930
Legiana Coil α,0,6,0,0,0,13,54,74,-1,2,-3,3,0,Ice Attack,2,Windproof,1,Legiana Favor,1,,,,,Legiana Hide+,4,Legiana Scale+,4,Freezer Sac,2,Legiana Plate,1,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,940
Legiana Coil β,0,6,2,0,0,13,54,74,-1,2,-3,3,0,Ice Attack,2,Legiana Favor,1,,,,,,,Legiana Hide+,4,Legiana Scale+,4,Freezer Sac,2,Legiana Plate,1,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,950
Odogaron Coil α,0,6,0,0,0,13,54,74,2,2,-2,-3,0,Critical Eye,2,Speed Sharpening,1,Odogaron Mastery,1,,,,,Odogaron Sinew+,6,Odogaron Claw+,4,Odogaron Fang+,2,Odogaron Gem,1,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,960
Odogaron Coil β,0,6,2,0,0,13,54,74,2,2,-2,-3,0,Critical Eye,2,Odogaron Mastery,1,,,,,,,Odogaron Sinew+,6,Odogaron Claw+,4,Odogaron Fang+,2,Odogaron Gem,1,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,970
Rathalos Coil α,0,6,0,0,0,13,54,74,3,1,-2,1,-3,Fire Attack,2,Focus,1,Rathalos Mastery,1,,,,,Rathalos Scale+,4,Rathalos Carapace,4,Rathalos Wing,2,Rathalos Tail,2,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,980
Rathalos Coil β,0,6,2,0,0,13,54,74,3,1,-2,1,-3,Fire Attack,2,Rathalos Mastery,1,,,,,,,Rathalos Scale+,4,Rathalos Carapace,4,Rathalos Wing,2,Rathalos Tail,2,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,990
Rath Soul Coil α,0,7,0,0,0,13,56,68,3,2,2,-3,-4,Windproof,2,Piercing Shots,1,Rathalos Mastery,1,,,,,Azure Rathalos Scale+,4,Azure Rathalos Carapace,4,Rathalos Medulla,1,Monster Hardbone,6,82,Streamstone,1,Wyvern Gem,1,0,1000
Rath Soul Coil β,0,7,3,0,0,13,56,68,3,2,2,-3,-4,Windproof,2,Rathalos Mastery,1,,,,,,,Azure Rathalos Scale+,4,Azure Rathalos Carapace,4,Rathalos Medulla,1,Monster Hardbone,6,82,Streamstone,1,Wyvern Gem,1,0,1010
Diablos Coil α,0,6,0,0,0,13,54,74,3,-2,0,-3,2,Marathon Runner,2,Critical Draw,1,Diablos Mastery,1,,,,,Diablos Carapace,4,Diablos Ridge+,3,Diablos Fang,2,Kestodon Scalp,3,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,1020
Diablos Coil β,0,6,2,0,0,13,54,74,3,-2,0,-3,2,Marathon Runner,2,Diablos Mastery,1,,,,,,,Diablos Carapace,4,Diablos Ridge+,3,Diablos Fang,2,Kestodon Scalp,3,86,Streamstone Shard,1,Bird Wyvern Gem,1,0,1030
Diablos Nero Coil α,0,7,0,0,0,13,56,68,2,-3,0,-4,2,Resentment,1,Partbreaker,1,Diablos Mastery,1,,,,,Black Diablos Carapace,4,Black Diablos Ridge+,3,Diablos Tailcase,2,Gastodon Horn,3,82,Streamstone,1,Wyvern Gem,1,0,1040
Diablos Nero Coil β,0,7,2,0,0,13,56,68,2,-3,0,-4,2,Resentment,1,Diablos Mastery,1,,,,,,,Black Diablos Carapace,4,Black Diablos Ridge+,3,Diablos Tailcase,2,Gastodon Horn,3,82,Streamstone,1,Wyvern Gem,1,0,1050
